distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
30,840,720,1780,680,1091,1620,NA,900,1180,940,NA,1280,620,480,900,860
30,1340,1580,1640,1060,NA,NA,1340,620,1918,460,1840,980,860,480,2360,660
30,2637,780,1820,1240,2076,1520,1900,820,1635,460,NA,880,480,420,980,860
30,780,820,1380,860,1520,1560,2040,760,3440,NA,820,1080,2440,560,740,680
30,540,840,1020,820,1175,1420,2100,560,1958,500,840,980,920,560,420,855
30,500,1480,1240,700,1900,1280,3520,680,1680,620,NA,1300,620,880,NA,740
30,1260,740,960,740,1500,1180,1040,600,1600,NA,640,1460,360,520,520,1440
30,820,1240,1300,720,2455,1400,1155,880,1200,NA,1520,1380,820,540,NA,1980
30,720,1800,1480,1120,638,1260,1460,840,1780,NA,NA,840,500,NA,640,740
30,1338,820,5680,640,856,3300,1720,1480,2040,1000,940,1300,580,NA,460,1440
30,660,1080,1700,1040,940,1640,1595,1120,1220,NA,980,1020,NA,520,700,NA
30,1100,760,2140,680,620,1200,1440,1240,1060,NA,1180,960,1140,660,840,680
30,900,680,1480,520,880,1340,1600,1280,1160,NA,920,960,721,1100,NA,600
30,540,820,1200,780,620,1300,2221,1260,920,540,NA,937,NA,920,880,NA
30,760,640,1660,640,700,1800,3140,1500,1740,NA,680,1096,720,980,619,1400
30,560,759,1540,780,720,1280,2820,540,1280,NA,1575,820,4680,NA,879,1040
30,1360,740,900,700,1120,1160,1720,740,980,NA,600,939,6880,400,NA,2058
30,720,840,1000,600,720,1720,1320,580,1700,NA,620,1220,620,500,NA,561
30,840,640,1699,540,660,1460,960,580,2019,1000,920,980,700,520,600,839
30,1960,680,1100,600,540,1220,1396,640,1080,740,900,900,640,900,980,3100
30,620,1520,1120,560,580,1800,2200,640,1840,NA,720,979,1960,540,637,1420
30,580,640,900,1260,1580,1460,1880,880,2540,1256,920,960,2380,640,720,500
30,660,1360,1240,980,780,1260,1480,800,1020,959,NA,1040,760,600,NA,820
30,880,720,1080,1640,1380,1460,1900,660,1460,NA,1320,860,840,660,780,1220
30,600,720,1300,860,1140,1700,1680,580,1440,NA,1120,1280,1920,860,NA,500
